"","EDUC","CLASS","WRKSTAT","MARITAL","AGE","CHILDS","SEX","RELTRAD","ATTEND","RELPERSN","RELACTIV","SOCREL","SOCOMMUN","SOCFREND","SOCBAR","INTRNETUSE","INTPRFSSNL","UNPLUG","INTHOME","INTPUB","INTSKILL","INTSURF","INTLITERACY","INTAPPS","INTCOMM","INTSHARE","INTSEARCH","INTGAME","INTSTREAM","INTFNCL","INTMEET","INTLNLY","INTVIEWS","INTRUST","TRPPL","RACECEN1.mod"
"40",16,3,2,1,52,4,2,4,5,2,4,5,6,5,6,1,1,6,1,1,1,1,2,3,1,2,1,5,3,1,3,3,6,1,3,1
"41",16,2,1,5,41,0,2,7,0,3,3,4,3,5,3,2,5,4,2,3,1,1,1,2,1,2,1,5,2,1,3,2,5,3,0,2
"42",12,2,5,5,65,0,2,7,0,4,1,2,5,4,6,2,5,6,1,3,2,2,2,3,2,4,1,4,5,2,5,3,2,2,4,1
"43",14,2,1,1,38,3,2,3,3,2,1,5,7,4,7,1,1,5,2,3,1,1,1,1,1,3,2,5,2,1,5,4,6,2,6,2
"44",16,3,1,1,27,0,1,1,4,2,3,7,4,4,7,2,1,5,1,1,1,1,1,1,2,2,2,4,1,1,4,4,5,6,6,2
"45",16,3,1,3,58,1,2,4,0,4,1,2,7,4,5,1,1,3,1,2,1,1,1,1,1,4,1,5,3,3,4,4,6,0,10,2
"46",16,4,5,1,69,1,1,5,0,3,1,5,4,5,5,2,5,6,2,3,2,2,1,1,1,2,1,5,4,1,4,2,5,3,8,1
"47",16,1,1,4,32,2,1,7,0,4,1,2,7,4,3,1,1,3,2,3,1,1,2,2,1,3,1,3,2,1,3,3,6,4,6,1
"48",12,1,1,5,34,0,1,4,0,4,1,5,7,7,7,1,1,6,1,1,1,1,1,1,1,3,1,1,1,1,1,2,6,4,3,6
"49",12,2,8,5,34,0,1,4,1,3,1,6,7,2,7,1,6,6,1,5,2,2,2,2,3,2,3,3,4,4,3,2,4,5,7,6
"50",15,3,2,3,62,2,2,1,5,2,5,2,2,2,5,1,2,2,1,4,2,2,1,3,2,2,2,5,3,3,5,5,3,2,5,1
"51",15,3,3,1,62,3,1,1,8,1,4,3,5,6,7,1,1,1,1,1,1,1,3,1,1,4,2,4,3,2,5,5,6,0,4,1
"52",12,2,1,5,22,1,1,6,6,2,4,4,2,4,6,5,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,6,0,1
"53",13,2,6,5,19,0,1,4,5,3,2,2,4,2,7,1,2,2,2,3,3,1,1,1,1,3,1,1,1,1,5,3,5,7,2,6
"54",12,2,2,5,41,1,2,6,7,1,5,6,5,5,7,1,3,6,1,4,2,3,3,4,3,4,3,1,2,4,3,2,6,2,5,2
"55",18,1,1,1,24,0,2,7,0,4,1,5,6,5,7,1,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,3,6,3
"56",12,2,6,5,33,1,1,7,0,4,2,5,7,3,5,2,3,1,2,4,1,1,1,1,1,2,1,2,2,2,2,4,2,3,2,1
"57",18,3,1,1,41,0,2,4,1,4,1,2,4,3,3,1,1,2,1,4,1,1,1,1,1,1,4,5,1,1,5,5,6,5,3,1
"58",14,3,1,5,34,1,2,7,0,4,1,3,5,3,5,1,2,2,1,3,1,1,1,1,1,1,1,4,1,2,3,3,4,2,0,3
"59",12,2,4,5,35,3,2,4,7,3,1,2,2,2,7,1,1,5,1,1,1,1,1,2,1,1,1,5,1,1,4,2,6,0,5,6
"60",12,3,4,3,54,2,1,4,0,2,1,3,2,5,7,3,5,2,3,5,2,2,2,3,4,4,3,3,4,3,3,3,5,3,7,1
"61",12,3,1,1,49,2,2,7,0,4,1,4,5,5,5,1,1,6,1,1,1,1,2,2,1,1,1,4,1,1,4,2,5,8,8,1
"62",12,2,2,1,37,3,2,6,6,2,2,6,6,4,7,1,1,1,1,1,2,1,3,3,1,3,1,5,1,1,4,4,5,0,2,6
"63",14,1,2,5,28,0,1,7,0,4,1,3,7,2,4,2,5,3,2,5,2,2,1,2,2,1,2,3,2,2,4,1,5,0,0,1
"64",16,2,4,2,59,4,2,4,0,2,1,5,7,4,7,1,1,6,1,5,3,3,1,1,3,2,2,5,3,2,4,4,6,2,7,6
"65",10,2,1,5,22,0,2,4,1,3,5,2,7,6,7,1,4,2,1,2,1,1,3,1,1,4,1,3,3,2,2,2,5,0,3,6
"66",18,3,1,3,70,1,2,7,0,4,1,6,7,6,7,1,1,6,1,4,1,1,1,2,1,1,1,5,3,1,2,4,1,5,3,1
"67",10,2,8,1,39,3,2,4,4,3,1,2,7,2,4,2,4,5,3,4,3,3,2,3,2,4,3,2,2,3,3,3,6,0,0,6
