"","EDUC","CLASS","WRKSTAT","MARITAL","AGE","CHILDS","SEX","RELTRAD","ATTEND","RELPERSN","RELACTIV","SOCREL","SOCOMMUN","SOCFREND","SOCBAR","INTRNETUSE","INTPRFSSNL","UNPLUG","INTHOME","INTPUB","INTSKILL","INTSURF","INTLITERACY","INTAPPS","INTCOMM","INTSHARE","INTSEARCH","INTGAME","INTSTREAM","INTFNCL","INTMEET","INTLNLY","INTVIEWS","INTRUST","TRPPL","RACECEN1.mod"
"167",12,3,1,5,30,0,2,7,5,4,1,4,7,2,3,2,2,3,2,2,2,2,2,2,2,4,2,3,2,2,4,2,6,4,5,1
"168",16,3,4,5,27,0,1,6,2,4,3,6,4,3,4,1,2,2,1,2,1,1,1,1,1,1,1,4,1,1,3,4,5,0,5,4
"169",16,3,1,3,86,0,2,4,7,2,5,3,4,2,2,3,1,5,1,5,2,2,2,3,3,5,4,5,5,2,4,4,6,0,8,1
"170",18,3,5,1,73,2,1,4,7,2,6,2,7,2,4,2,5,3,2,2,2,2,2,3,4,4,2,5,3,4,5,4,6,3,6,1
"171",18,4,1,1,47,3,2,4,3,3,4,3,3,4,4,1,2,2,1,4,2,2,1,2,2,4,3,5,3,3,4,1,6,2,4,1
"172",12,2,1,1,55,2,1,7,1,3,1,3,5,5,4,2,4,4,2,3,3,3,1,3,4,2,2,5,3,2,2,3,6,5,2,1
"173",16,3,1,3,49,3,2,7,0,2,3,3,5,2,4,1,1,3,1,2,2,1,1,4,1,5,2,1,3,2,5,5,6,4,6,1
"174",16,3,1,4,36,2,2,7,1,4,1,4,6,6,4,1,1,2,2,3,1,2,3,2,2,1,1,3,4,1,4,5,5,2,5,1
"175",16,3,2,1,60,3,2,2,3,2,3,3,6,4,5,2,3,2,2,2,2,2,1,2,1,1,1,2,2,2,4,5,4,5,5,1
"176",18,3,1,1,36,1,1,7,0,4,1,3,7,7,7,1,1,3,1,2,1,1,1,1,1,5,1,1,1,3,2,5,6,0,3,6
"177",18,3,1,1,53,2,2,1,7,3,8,3,6,2,6,1,2,3,2,3,1,1,1,2,1,1,2,3,4,3,4,4,6,2,6,1
"178",12,1,5,1,66,1,1,3,7,2,8,4,4,5,7,1,5,6,1,5,1,1,1,1,1,3,1,5,1,2,5,5,6,0,0,2
"179",13,2,1,5,30,0,2,7,2,4,2,4,7,4,3,1,2,5,1,3,1,1,2,1,2,1,1,3,3,3,4,5,4,2,6,1
"180",16,3,5,1,50,2,1,6,7,1,5,2,6,5,5,2,5,3,2,3,2,3,2,2,2,5,1,5,2,2,3,2,6,2,2,1
"181",14,3,2,3,66,2,2,1,7,1,8,2,2,2,7,2,1,5,2,5,2,2,1,2,3,4,2,5,4,3,4,4,6,4,7,1
"182",18,2,1,1,42,2,2,1,5,3,4,3,5,3,5,1,4,2,2,3,2,2,2,2,3,3,2,4,3,3,4,3,6,3,6,1
"183",18,3,1,1,57,1,2,1,7,1,4,1,5,4,6,2,2,4,2,4,1,1,1,2,2,4,3,4,3,2,4,4,6,2,3,1
"184",16,3,5,1,67,2,1,2,1,4,1,4,6,4,5,1,5,3,2,3,2,1,1,3,3,2,1,5,3,1,4,4,1,4,1,1
"185",20,3,3,3,40,2,2,1,7,3,2,5,7,5,5,2,1,5,1,3,1,2,2,2,1,2,1,3,3,1,3,3,6,3,3,1
"186",13,2,3,5,39,4,2,3,8,2,3,7,7,6,7,2,2,2,1,5,2,2,1,3,4,3,1,5,4,1,5,5,5,0,4,2
"187",16,3,1,5,44,1,2,1,7,3,4,4,7,4,4,1,1,5,1,2,2,1,1,3,1,1,2,5,3,2,4,3,6,0,5,1
"188",17,3,4,5,41,0,1,3,8,1,8,3,2,4,4,1,1,6,1,1,1,1,3,2,1,3,2,5,3,2,5,5,1,3,0,2
"189",14,2,1,5,25,0,1,7,0,4,1,4,3,4,3,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,4,3,1,0,2,1
"190",14,2,1,5,34,2,1,7,2,3,3,1,2,2,5,1,1,6,2,1,1,1,1,1,1,3,1,1,1,1,5,5,6,0,10,1
"191",18,2,1,5,37,0,1,1,2,3,1,4,2,3,2,1,1,6,1,2,1,1,1,1,2,3,1,4,1,1,3,2,6,2,4,2
"192",13,3,1,5,25,0,2,7,0,4,1,3,7,3,4,1,1,2,1,3,1,1,2,3,1,3,1,3,2,3,4,4,6,0,4,6
"193",17,2,7,1,32,2,2,4,6,3,1,2,7,2,7,1,5,1,1,1,2,2,2,3,3,2,1,5,2,1,4,4,6,2,5,1
"194",15,2,1,5,38,0,2,3,2,3,3,5,7,2,4,2,1,2,1,2,1,1,1,1,1,3,1,5,2,1,5,5,6,1,2,2
"195",14,4,4,5,37,0,2,6,3,1,6,7,7,7,7,1,1,6,1,1,1,1,3,2,3,2,1,5,1,3,5,2,5,7,7,1
"196",12,2,1,5,44,0,1,7,0,4,1,4,7,2,4,2,1,6,2,4,1,1,1,2,4,5,2,5,1,2,5,4,6,0,6,1
"197",12,3,4,5,33,4,2,3,5,1,2,6,7,7,7,3,3,3,1,3,1,1,1,1,1,1,1,4,1,3,3,3,1,5,5,2
"198",13,2,8,4,28,2,1,1,7,3,3,7,6,6,4,1,1,3,1,1,1,1,1,2,1,1,1,2,1,1,1,1,6,3,8,2
"199",15,3,1,1,57,2,2,6,7,1,8,4,6,4,7,2,1,1,1,5,2,1,1,2,1,3,1,5,3,2,3,3,5,5,7,4
"200",14,3,6,5,20,0,2,6,3,1,1,1,3,2,7,1,2,1,1,1,1,1,4,1,1,2,1,2,2,3,3,1,1,6,8,4
"201",19,2,1,3,49,3,2,1,7,1,5,2,3,2,4,1,1,2,1,2,1,2,1,2,1,4,2,2,1,2,3,2,6,1,3,1
"202",16,3,8,2,59,3,2,1,7,1,6,2,2,4,7,1,5,6,1,2,1,1,1,1,1,4,2,3,2,2,5,5,6,5,0,1
"203",14,3,1,5,24,0,1,4,6,2,4,1,3,5,5,2,3,6,1,3,1,1,2,2,1,1,1,1,2,1,3,2,6,4,6,1
"204",8,3,5,1,71,3,1,1,7,1,8,6,7,5,7,2,4,6,1,4,3,2,2,4,2,2,2,5,3,4,3,3,2,7,5,1
"205",16,3,2,5,22,0,2,4,5,2,1,3,5,3,3,1,2,6,1,1,1,1,1,1,1,2,1,4,1,2,4,2,6,6,5,1
"206",14,3,2,1,42,3,2,4,3,2,4,3,4,4,5,2,2,2,2,3,2,2,1,2,2,4,1,4,3,1,4,3,6,0,5,1
"207",16,3,7,1,47,2,2,2,1,3,3,3,6,4,7,1,1,3,1,3,1,1,2,2,1,2,1,5,3,2,3,3,5,5,6,1
"208",16,2,1,3,55,3,2,4,5,3,2,5,6,3,5,1,1,6,2,5,1,1,1,2,3,4,2,3,2,2,5,5,6,0,4,1
"209",16,3,1,5,34,0,1,2,3,2,4,2,7,2,5,1,1,5,1,4,1,1,1,1,1,1,1,1,1,1,4,1,4,6,8,1
"210",16,3,1,5,29,0,1,7,1,4,2,3,4,2,2,1,1,2,1,3,1,1,1,1,1,3,2,2,1,2,3,4,4,5,6,1
"211",20,3,1,1,58,1,2,4,4,3,5,4,4,4,4,1,1,4,1,3,1,1,1,2,2,2,2,4,2,1,4,4,1,2,5,1
"212",12,1,2,5,44,1,2,6,7,1,8,2,7,6,7,1,5,6,1,5,1,1,2,3,1,3,3,4,3,2,4,4,5,0,0,2
"213",11,1,4,3,59,2,1,7,2,4,3,4,7,6,7,4,3,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,2,3,4,2
"214",12,1,7,5,31,1,2,6,0,3,1,1,1,4,2,1,3,1,1,2,1,2,4,3,2,5,2,2,2,3,5,5,2,1,0,2
"215",12,3,7,5,41,2,2,3,2,2,2,5,3,5,7,1,1,2,1,5,1,1,1,1,2,4,3,5,5,3,4,4,6,0,0,2
"216",12,1,7,5,44,2,2,4,3,3,4,5,7,5,5,2,2,5,2,2,3,3,2,4,2,4,3,2,2,3,5,4,5,0,0,2
"217",13,3,1,3,52,5,2,2,1,3,1,4,7,6,7,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,3,1,6,0,0,2
"218",12,2,1,5,31,2,1,4,0,3,1,1,3,4,7,2,5,1,1,1,2,2,1,3,3,4,3,1,3,2,3,4,6,0,0,5
"219",16,3,1,5,23,0,2,4,0,4,1,4,4,3,4,2,1,2,1,3,1,1,1,1,1,3,2,3,3,2,4,2,4,5,4,1
"220",12,3,5,2,84,1,1,4,7,2,1,4,4,4,6,2,1,5,3,4,3,2,2,4,5,3,3,2,5,3,4,4,6,5,3,1
"221",16,3,1,1,51,1,2,5,0,3,1,1,3,4,2,1,1,6,1,2,2,2,1,4,1,3,2,5,3,3,4,3,6,5,0,1
"222",12,2,1,5,47,0,1,5,0,4,1,3,7,5,5,1,1,6,1,1,1,1,1,1,1,1,1,5,3,1,2,4,6,5,0,2
"223",14,3,2,1,69,3,1,4,2,3,1,3,3,3,4,1,1,6,1,3,2,2,2,3,2,4,1,2,3,1,5,5,6,2,7,1
"224",16,2,1,5,30,0,2,6,2,2,1,3,6,5,5,4,3,4,5,3,3,3,3,3,3,3,3,4,3,3,3,3,3,6,5,1
"225",12,3,5,1,60,2,2,4,6,2,4,5,5,3,2,2,6,6,1,3,1,1,3,2,3,2,1,5,3,2,5,4,5,5,6,1
"226",17,4,1,3,45,2,2,7,2,4,1,1,5,3,5,1,1,2,1,2,1,1,1,1,1,4,2,5,1,2,4,3,6,7,7,1
"227",18,3,5,1,67,1,2,2,0,4,1,2,5,5,2,2,3,5,1,4,1,1,2,3,2,4,1,2,3,2,4,3,4,2,5,1
"228",18,2,1,1,61,6,1,1,8,1,8,4,5,5,7,1,1,6,1,3,1,1,1,2,1,1,1,5,1,1,4,5,4,3,4,1
"229",12,2,5,3,59,7,2,3,2,1,1,1,2,7,7,1,5,6,1,5,3,3,1,5,1,5,2,2,3,5,4,4,6,0,0,2
"230",12,2,7,5,22,0,2,7,0,4,1,2,3,3,4,2,3,2,1,2,1,1,1,2,2,3,1,1,1,2,4,3,2,2,4,1
"231",9,3,5,1,76,2,1,1,0,3,1,7,7,7,7,2,5,6,1,5,2,2,2,2,2,2,2,1,5,2,2,4,6,0,0,1
"232",13,2,1,1,28,0,2,7,0,4,1,7,7,5,5,1,3,2,1,3,1,1,1,1,3,5,1,1,3,1,3,1,5,2,0,2
"233",15,2,4,5,28,2,2,7,4,3,2,3,6,4,4,1,2,3,1,2,1,1,1,2,2,2,2,4,2,2,4,5,5,3,5,2
"234",14,2,1,4,60,2,2,2,4,2,3,6,7,6,7,1,1,4,1,1,1,1,1,1,1,1,1,3,2,1,3,1,6,5,5,1
"235",12,2,2,1,45,2,1,1,5,2,2,6,7,7,6,5,3,4,3,3,2,2,1,2,3,4,3,4,3,3,5,5,4,4,5,1
"236",17,2,1,1,32,0,2,6,3,2,4,2,5,5,6,1,1,2,1,2,2,2,2,3,2,3,2,4,3,2,4,3,5,2,2,4
"237",13,3,7,1,36,2,2,6,1,1,1,1,7,2,7,6,6,2,2,3,2,2,2,2,1,5,3,3,3,3,4,4,6,0,0,1
"238",20,2,2,1,54,4,2,4,7,1,10,2,2,2,6,1,1,6,1,3,3,1,1,1,1,3,1,5,3,3,4,5,6,1,7,1
"239",12,2,7,1,46,3,2,4,5,2,4,4,5,6,7,2,5,2,2,3,3,3,3,3,2,2,2,5,3,2,3,4,6,5,5,1
"240",6,2,5,2,70,3,2,1,7,2,4,4,6,3,7,6,6,6,3,6,5,4,4,5,2,3,4,5,4,5,5,5,6,0,6,1
"241",18,3,1,5,27,0,1,4,3,3,1,2,2,3,7,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,2,1,5,4,1
"242",16,3,1,1,55,2,2,1,4,1,4,1,3,4,7,1,1,2,1,1,1,1,1,1,1,1,1,5,1,2,4,4,3,0,1,2
"243",16,4,5,1,83,2,1,4,7,1,7,5,4,4,7,1,5,6,1,4,2,2,2,2,3,4,2,3,2,2,5,4,6,1,8,1
"244",17,4,7,1,49,2,2,7,0,4,1,5,5,5,5,1,1,6,1,1,1,1,1,2,1,1,1,5,3,1,5,2,6,4,6,1
"245",14,3,1,1,24,2,1,7,3,4,4,2,7,3,3,1,2,3,1,2,1,1,1,1,1,4,1,1,1,1,5,4,6,0,0,1
"246",17,3,5,1,74,1,1,4,1,3,2,5,7,5,6,3,5,3,1,4,1,1,2,1,3,4,1,5,5,2,4,3,5,0,0,1
"247",12,2,1,5,61,0,2,6,8,1,8,3,5,4,6,2,3,2,1,2,1,1,1,3,3,3,2,3,2,2,5,5,6,3,4,2
"248",12,2,2,1,44,2,1,4,4,3,1,5,5,6,7,1,2,2,2,3,3,2,1,3,1,4,3,4,3,2,5,2,6,0,5,6
"249",18,2,1,5,26,0,2,3,1,2,9,1,1,5,5,1,1,6,1,1,1,1,1,1,1,3,1,2,1,1,5,5,5,3,5,2
"250",16,3,3,5,28,0,1,3,0,1,1,4,2,3,5,1,1,1,1,1,1,1,1,2,1,1,1,3,2,1,4,4,6,0,0,2
"251",16,2,2,5,63,0,1,7,0,4,1,5,5,6,7,5,5,6,1,5,3,2,2,3,5,4,4,5,4,5,5,3,6,8,7,1
"252",13,2,1,1,33,3,1,7,0,4,1,5,7,2,6,1,1,6,1,2,1,1,1,1,2,4,2,2,4,3,3,4,6,1,3,1
"253",13,3,5,1,77,4,2,1,6,2,5,4,5,5,7,3,5,4,1,4,2,2,3,3,2,2,2,4,3,3,3,5,4,5,0,1
"254",13,2,7,5,30,4,2,4,7,3,5,3,6,4,4,1,1,3,2,5,3,3,3,3,3,3,3,3,2,4,3,4,4,5,6,6
"255",17,3,5,3,75,0,1,1,0,2,3,6,2,7,7,2,5,1,1,5,3,1,1,4,5,3,1,3,5,3,3,3,1,0,3,1
"256",13,2,1,5,35,2,1,6,2,4,1,5,7,4,5,1,1,6,1,1,1,1,1,1,1,1,1,3,2,2,5,5,6,3,3,2
"257",17,3,1,1,69,1,1,6,1,3,1,5,7,6,7,2,2,6,2,4,1,1,1,2,2,4,1,5,2,1,4,3,6,3,5,1
"258",20,3,1,1,36,4,2,1,8,1,10,5,7,5,7,1,2,5,2,3,1,1,1,1,1,4,1,5,4,1,5,5,3,5,5,5
"259",18,3,1,5,42,0,2,1,7,1,6,4,6,3,6,2,1,4,3,4,1,1,2,2,2,3,1,2,1,2,4,3,6,3,5,1
"260",15,3,7,1,38,2,2,1,7,2,4,1,2,3,5,2,2,2,2,3,1,1,1,1,1,3,1,5,3,2,5,5,5,5,7,1
"261",15,2,2,5,26,0,1,4,8,2,5,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,4,1
"262",18,4,1,1,65,3,2,4,3,3,3,3,3,4,4,1,1,4,1,2,2,2,2,3,1,2,1,2,2,2,5,4,5,6,9,1
"263",14,2,1,5,29,0,1,3,3,2,1,2,7,5,7,2,2,6,2,3,1,1,1,2,2,2,2,1,1,2,1,1,3,5,6,2
"264",14,3,1,1,39,0,1,7,0,4,1,4,6,3,4,1,2,6,1,3,3,2,2,1,2,4,1,3,3,2,3,4,6,4,5,1
"265",20,3,5,2,70,1,2,7,0,4,1,5,6,6,7,2,5,4,1,4,1,1,1,2,3,4,1,5,1,1,3,3,6,2,6,1
"266",18,3,1,1,77,0,2,1,7,2,4,5,6,5,7,1,1,5,1,3,1,1,2,2,1,1,1,3,3,1,2,3,5,1,1,1
"267",20,3,5,1,69,2,1,5,1,4,2,3,5,5,7,2,5,4,2,2,2,2,2,2,2,3,2,5,3,3,4,5,2,10,5,1
"268",16,3,5,1,66,2,1,5,2,3,1,2,5,4,5,1,1,6,1,3,1,1,1,2,1,4,1,3,3,2,4,3,6,2,7,1
"269",13,2,1,5,40,5,2,7,2,3,1,5,7,4,6,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,3,3,4,0,0,2
"270",14,2,2,5,20,0,2,6,2,2,1,3,2,1,4,1,1,6,1,1,1,1,1,2,1,1,1,5,1,2,2,5,6,0,0,2
"271",15,3,6,5,20,0,1,1,3,2,3,2,1,3,5,2,2,2,2,2,2,2,2,2,1,4,2,3,1,3,3,4,5,5,5,1
"272",14,3,6,5,19,0,2,7,0,4,3,2,4,2,2,2,2,6,2,4,2,2,2,2,2,3,1,3,2,4,3,2,3,5,2,1
"273",14,3,5,1,76,2,2,5,3,2,4,2,2,2,7,1,5,3,3,4,2,2,3,4,2,5,5,5,5,3,5,5,6,0,5,1
"274",14,3,6,5,19,0,1,4,2,3,1,3,7,2,7,2,1,4,1,1,1,1,1,1,1,3,1,1,1,3,4,4,6,3,0,1
"275",16,3,2,1,37,4,2,1,7,1,10,5,4,2,7,1,1,5,1,2,1,1,1,1,1,2,1,5,2,2,4,5,6,6,6,1
"276",20,3,1,1,50,0,2,4,4,2,3,3,6,3,5,2,3,2,3,3,1,1,1,1,2,3,2,5,2,2,5,4,6,1,4,1
"277",20,3,1,5,41,0,1,7,1,4,1,4,3,2,2,2,1,2,1,1,1,1,1,1,1,1,1,5,2,1,1,1,1,0,2,1
"278",18,3,3,1,55,2,1,4,3,3,2,5,7,5,6,1,2,5,1,3,2,2,2,2,3,3,2,3,1,1,1,2,2,2,5,1
"279",17,1,4,3,36,1,2,7,0,4,1,7,7,7,7,1,1,2,1,1,5,3,3,2,1,1,1,1,1,3,4,4,1,0,10,1
"280",18,3,5,3,70,2,2,1,3,4,3,3,4,5,4,1,5,3,2,5,1,1,1,3,3,3,2,5,2,3,5,4,3,2,8,1
"281",16,3,2,5,40,1,2,1,5,2,6,5,7,3,3,2,2,3,5,5,1,1,1,2,1,5,1,5,5,2,4,4,5,0,5,1
"282",12,2,1,5,39,0,1,7,0,4,1,6,6,6,4,4,3,6,3,3,2,2,2,2,1,2,2,5,3,3,4,4,5,0,0,1
"283",16,3,1,1,31,0,1,6,4,2,4,5,6,6,5,2,3,3,2,3,1,1,2,1,1,2,2,2,2,1,4,1,4,7,4,4
"284",16,3,1,5,36,0,2,1,7,2,5,2,4,3,7,1,1,2,1,2,1,1,1,1,1,1,2,2,1,2,4,4,5,1,0,2
"285",12,2,1,4,36,0,1,7,0,4,1,2,2,7,7,3,5,6,2,4,5,4,3,5,1,3,5,5,5,5,3,5,5,0,0,1
"286",20,3,1,1,33,0,2,7,4,4,8,2,6,3,3,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1,3,3,2,1,5,1
"287",18,3,1,5,43,0,2,7,0,4,1,5,6,4,4,2,2,4,2,3,1,1,1,1,1,3,1,3,3,2,5,5,5,5,5,1
"288",16,3,2,5,22,0,2,7,0,4,1,2,7,4,2,2,3,3,1,2,1,1,1,2,1,1,1,5,1,2,4,4,5,2,4,1
"289",18,3,1,5,46,0,1,4,3,2,1,5,7,5,7,1,1,6,1,2,1,1,1,2,4,4,1,5,1,1,2,2,1,1,1,1
"290",15,3,1,5,33,0,1,4,2,2,1,1,1,1,3,1,1,6,1,1,1,1,1,1,1,2,1,1,1,1,3,3,5,6,5,1
"291",9,1,4,1,48,4,2,7,0,4,1,1,1,3,6,2,5,6,2,6,2,2,2,2,4,4,3,3,2,5,5,5,1,4,5,6
"292",14,3,1,1,43,2,1,7,2,3,2,3,7,3,4,1,1,5,1,3,1,1,2,2,2,2,1,5,1,1,3,3,5,6,5,2
"293",16,2,6,5,26,0,1,6,7,1,6,2,4,3,7,1,1,4,2,3,2,2,2,2,1,4,2,4,4,3,4,5,6,1,3,1
"294",16,2,6,5,22,0,2,6,3,2,4,4,5,5,6,2,1,3,2,2,2,2,2,3,2,2,1,4,2,3,4,3,3,5,1,1
"295",18,3,1,1,37,1,2,7,4,4,3,3,7,5,4,2,1,2,1,4,1,1,1,2,3,3,3,5,1,1,3,4,6,5,8,1
"296",12,2,1,3,46,3,2,1,6,2,4,2,7,4,6,1,1,5,3,3,2,2,2,2,2,4,2,4,3,2,3,2,6,4,3,1
"297",11,2,8,2,58,5,2,6,7,2,9,1,5,7,7,6,2,2,2,2,2,2,4,4,3,4,1,4,4,5,4,4,5,0,0,2
"298",15,1,7,4,67,7,2,3,7,2,4,6,3,4,6,2,1,2,2,2,1,1,1,2,2,3,1,5,1,1,3,4,2,5,5,2
"299",12,4,6,5,26,3,2,7,2,3,4,4,5,4,5,1,2,3,1,3,2,1,2,2,2,3,2,4,2,2,5,5,4,0,2,2
"300",13,2,5,2,76,1,2,2,7,2,6,6,4,4,3,1,5,6,1,4,2,2,2,5,1,4,3,5,3,1,3,2,6,0,8,1
"301",18,2,6,5,22,0,2,7,3,4,3,3,7,3,3,1,2,4,2,1,2,2,3,4,2,3,2,2,1,3,3,3,5,3,4,4
"302",19,2,1,5,36,0,1,2,3,3,5,5,5,5,6,2,3,4,2,3,1,1,1,1,1,4,2,3,3,2,4,2,4,3,5,4
"303",13,1,8,3,33,3,2,5,8,1,10,3,1,2,5,1,1,1,1,1,1,1,3,4,1,2,1,1,1,3,5,5,3,4,0,1
"304",12,3,1,3,54,0,1,7,0,4,1,1,2,3,2,2,2,6,2,2,1,1,1,1,1,1,1,4,3,2,3,3,6,0,0,1
"305",16,3,5,1,37,2,1,7,8,4,7,7,1,7,7,1,1,2,1,1,1,1,1,2,1,1,1,1,1,3,5,5,6,0,8,1
"306",9,1,4,5,36,4,2,6,5,3,6,2,3,3,7,1,1,3,1,2,1,1,3,3,1,2,1,3,1,1,3,2,6,1,0,3
"307",12,2,5,3,88,3,2,2,1,4,2,5,7,6,7,4,3,2,3,4,3,3,3,4,3,4,4,5,5,3,5,4,5,5,5,1
"308",12,1,2,3,43,7,2,6,3,3,3,4,6,5,6,2,3,2,2,3,3,3,3,3,3,2,2,4,3,2,3,3,6,0,3,4
"309",16,3,1,1,49,2,2,5,1,4,1,5,5,4,2,2,3,4,2,3,1,1,1,2,2,2,1,5,2,2,3,4,6,3,3,1
"310",14,3,3,5,18,0,2,7,0,4,1,1,4,2,7,1,2,2,2,3,2,2,2,2,1,1,2,4,1,3,4,4,2,3,4,4
"311",14,1,2,5,42,1,2,1,8,1,8,1,7,6,7,1,1,6,6,1,1,1,3,1,1,1,1,5,1,3,5,2,1,0,8,5
"312",20,2,1,3,49,1,1,2,6,2,5,1,2,3,7,6,2,3,4,5,1,1,2,2,4,4,2,5,3,2,3,5,6,4,3,1
"313",17,3,1,1,30,0,2,1,6,2,1,2,7,3,5,1,1,6,1,3,1,1,2,2,1,1,1,5,1,1,2,4,5,0,2,1
"314",15,3,1,1,48,0,2,4,3,2,4,3,5,5,7,1,1,5,1,3,1,1,1,1,1,1,1,3,1,1,3,5,5,4,4,4
"315",16,3,1,3,46,2,1,7,0,4,1,7,7,7,7,1,1,2,1,1,1,1,1,1,3,3,3,1,2,2,1,2,3,2,4,1
"316",13,2,8,3,61,1,1,7,0,4,1,5,7,7,7,2,5,3,2,5,1,1,1,3,2,4,3,3,3,2,3,4,2,2,3,1
"317",16,2,1,3,46,3,2,4,2,2,1,4,3,7,7,1,1,6,1,4,1,1,1,4,4,5,2,3,2,2,4,4,4,0,8,1
"318",16,3,7,1,31,2,2,6,7,1,6,2,6,4,7,2,5,2,2,3,2,2,2,3,1,3,2,5,1,3,5,4,5,4,7,1
"319",14,2,1,5,36,0,1,4,0,3,1,5,7,5,6,1,1,3,1,1,1,1,2,2,3,4,2,2,1,1,3,4,6,5,4,6
"320",16,3,1,1,42,2,2,4,1,3,1,2,6,5,5,1,1,4,1,3,1,1,1,1,1,1,1,3,1,1,3,4,6,6,6,1
"321",16,2,7,1,38,2,2,4,5,2,6,4,5,5,6,1,5,4,1,3,1,1,4,2,1,2,2,5,4,2,4,2,4,2,6,1
"322",15,3,1,4,48,1,2,7,1,4,2,5,4,3,3,1,2,3,2,4,1,2,2,2,1,4,1,4,2,1,4,3,6,4,7,1
"323",16,3,1,5,33,0,1,4,4,2,3,2,2,3,3,1,1,2,1,4,1,1,1,1,1,5,1,1,1,3,5,5,6,2,0,1
"324",14,2,2,5,59,0,2,1,3,3,2,7,7,7,7,2,5,6,2,5,1,1,1,1,1,3,1,1,4,2,4,4,6,3,2,1
"325",18,3,5,1,73,4,1,1,8,1,6,4,7,5,7,2,5,4,2,5,2,2,2,3,1,4,2,4,4,3,4,4,6,2,3,5
"326",20,3,1,1,61,0,2,5,7,1,8,6,4,4,7,1,1,5,2,5,1,1,2,2,1,5,1,5,3,1,4,4,6,2,8,1
"327",12,1,7,5,30,2,1,7,0,4,1,5,7,7,7,2,2,6,2,4,1,1,1,1,4,5,3,2,1,2,5,5,6,0,0,1
"328",14,2,1,5,31,0,2,6,2,2,3,3,7,3,7,1,1,6,1,1,1,1,1,1,1,1,1,4,2,1,4,4,6,3,4,1
"329",14,1,8,5,34,0,2,3,5,2,4,5,4,6,7,1,5,3,1,1,1,1,2,3,1,3,3,5,1,1,3,3,6,5,0,2
"330",15,1,5,3,63,1,2,1,4,2,1,3,3,5,6,2,5,5,2,5,1,1,1,2,2,3,1,5,2,2,4,3,6,1,5,1
"331",14,1,7,4,46,8,2,2,8,2,6,2,6,4,7,1,5,2,1,2,1,1,1,3,1,3,1,5,3,1,5,5,4,0,0,5
"332",13,3,1,5,32,0,2,4,3,2,5,3,3,3,3,1,1,1,1,1,1,2,1,2,2,2,2,5,1,1,4,4,6,5,5,1
"333",16,3,1,3,58,1,2,2,2,3,1,3,3,3,4,1,1,2,2,3,2,2,2,3,1,3,2,4,4,3,5,5,6,5,4,1
"334",18,4,2,5,24,0,2,2,3,2,4,6,7,1,3,1,1,5,1,1,1,1,1,2,1,1,2,5,3,2,3,4,6,0,0,1
"335",16,3,2,1,59,2,2,7,0,4,1,5,7,5,7,1,1,2,1,4,1,1,1,1,1,1,1,5,5,1,5,4,6,0,7,6
"336",18,3,1,3,36,0,2,7,0,4,1,2,7,4,4,1,1,5,1,3,1,1,1,1,1,4,1,4,2,1,2,2,6,4,3,1
"337",17,3,5,2,71,5,2,2,7,1,9,1,6,4,7,2,5,1,1,5,1,1,1,2,2,3,1,1,2,1,5,5,6,0,0,1
"338",15,2,1,1,53,2,1,6,7,1,8,3,4,4,7,2,1,6,1,4,1,1,1,1,1,4,1,5,1,1,5,5,6,0,5,1
"339",14,2,1,1,36,1,2,4,4,2,2,5,5,3,7,2,4,2,1,2,2,2,3,3,2,2,2,5,2,3,2,5,4,6,8,1
"340",13,2,1,1,46,1,2,7,0,4,1,3,5,3,5,2,4,6,1,2,1,1,1,2,2,2,2,5,2,2,4,4,6,5,5,1
"341",14,2,7,1,19,0,2,4,6,3,2,3,7,3,3,1,2,2,1,4,2,3,3,3,3,3,4,4,3,3,5,4,5,5,4,1
"342",12,2,1,1,64,0,1,7,0,4,1,2,4,4,4,2,5,6,3,4,3,1,2,2,4,4,1,5,4,2,5,3,6,0,10,1
"343",16,3,1,1,38,2,2,4,7,2,4,3,5,4,5,2,2,6,2,3,2,2,2,2,2,4,2,5,2,2,4,5,6,3,5,1
"344",20,3,1,1,41,2,1,2,2,4,3,4,3,4,4,1,1,3,1,1,1,1,1,1,1,4,1,3,2,1,2,3,6,5,6,1
"345",18,3,1,1,42,2,1,4,2,3,1,3,7,3,5,1,4,6,3,5,1,1,1,1,1,4,1,5,2,1,5,3,6,9,10,1
"346",17,3,1,1,39,0,1,4,2,3,2,3,4,2,1,1,1,6,1,1,1,1,1,1,1,1,1,3,1,1,4,3,4,5,7,1
"347",18,2,1,3,60,4,2,2,2,2,3,3,1,1,1,2,3,5,2,3,1,1,1,2,1,2,1,4,2,1,5,5,5,5,5,1
"348",19,2,1,1,53,2,1,1,7,1,6,4,6,3,7,1,2,6,2,2,2,2,3,2,2,4,2,5,4,2,2,3,6,0,5,4
"349",16,4,1,1,65,2,1,3,4,2,4,3,4,2,3,2,2,6,2,3,1,1,2,2,2,3,2,4,2,2,4,4,2,5,7,2
